Cluster,snapped_lon,snapped_lat,geometry
1,122.56823,10.70158,POINT (122.56832218412698 10.701357239186509)
2,122.50356400959099,10.6922941865077,POINT (122.5035659132184 10.692302594195402)
3,122.54539023392122,10.696576047317087,POINT (122.5453315375 10.696675379722222)
4,122.50489529155699,10.679790588555377,POINT (122.50489723900708 10.679806168156029)
5,122.51748085870642,10.688886116824571,POINT (122.51748458170732 10.68877908054878)
6,122.56636065079913,10.69442058755879,POINT (122.56576878499024 10.694433180448344)
7,122.55344911633627,10.699615031082933,POINT (122.5534975117878 10.699194362927308)
8,122.53477532997103,10.691916356905244,POINT (122.53474929729732 10.69195866)
9,122.57243908413861,10.692793932874212,POINT (122.57248559650144 10.692745631574343)
10,122.56110786229603,10.700459572459206,POINT (122.56110723484848 10.70046270969697)
11,122.5,10.69341,POINT (122.49975829971832 10.692912761584507)
12,122.52816385478938,10.688931105180764,POINT (122.52814148351648 10.68905974)
13,122.5114,10.6861,POINT (122.51179134857144 10.68399451142857)
14,122.54308961891482,10.697179809457412,POINT (122.54320145741325 10.696956132460569)
15,122.56783624312176,10.697172927458539,POINT (122.56815253297871 10.69718518675532)
16,122.50211172115384,10.68651,POINT (122.50211172115384 10.6864371475)
17,122.56080156350833,10.693985210991388,POINT (122.5608548504 10.6938158348)
18,122.52290024432055,10.68902216030861,POINT (122.52294159734512 10.6884432179646)
19,122.5000445001888,10.680536987457518,POINT (122.5001170847826 10.680859585652174)
20,122.53870119758403,10.694557656429216,POINT (122.53870375789474 10.694553756421053)
21,122.51280386577503,10.689974302459996,POINT (122.51281453035712 10.690014294642856)
22,122.51672405958998,10.686538621959132,POINT (122.51680282217194 10.686536831900453)
23,122.5482408035284,10.699047398390606,POINT (122.54826866796115 10.698904798058251)
24,122.56362033843916,10.70087516350314,POINT (122.56362901036586 10.700813014695122)
25,122.56972855580888,10.692028976244762,POINT (122.56973540411764 10.691997017470587)
26,122.55657999536776,10.700009999536777,POINT (122.556577415 10.700035803214286)
